Overall Qual,Mas Vnr Area,BsmtFin SF 1,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Screen Porch,Pool Area,SalePrice
8,603.0,1416.0,1650.0,1690,1589,3279,3,1,12,1,3.0,841.0,210,0,538000
9,350.0,1445.0,1856.0,1856,0,1856,1,1,8,1,3.0,834.0,0,0,394432
9,162.0,0.0,1590.0,1627,707,2334,2,1,10,1,3.0,751.0,0,0,376162
9,450.0,1646.0,1930.0,1940,0,1940,2,1,8,1,3.0,606.0,0,0,395192
9,760.0,2188.0,2330.0,2364,0,2364,2,1,11,2,3.0,820.0,0,0,611657
9,1095.0,1373.0,2846.0,2696,0,2696,2,1,10,2,3.0,958.0,0,0,500000
8,114.0,0.0,1629.0,1645,830,2475,2,1,7,1,3.0,962.0,256,0,355000
8,579.0,816.0,2033.0,2053,1185,3238,2,1,9,1,3.0,666.0,0,0,410000
8,504.0,250.0,1231.0,1251,1098,2349,2,1,9,1,3.0,762.0,0,0,362500
9,0.0,0.0,2002.0,2018,0,2018,2,0,10,1,3.0,746.0,0,0,378500
9,160.0,1320.0,1746.0,1746,0,1746,2,0,7,2,3.0,758.0,0,0,377500
8,0.0,1965.0,2208.0,2522,0,2522,2,0,8,1,2.0,564.0,0,0,375000
9,748.0,1904.0,2216.0,2234,0,2234,2,0,9,1,3.0,1166.0,0,0,501837
8,464.0,0.0,2046.0,2046,0,2046,2,1,7,1,3.0,834.0,0,0,372500
9,726.0,1360.0,1776.0,1794,978,2772,3,1,10,3,3.0,754.0,0,0,462000
9,860.0,0.0,1926.0,1966,1174,3140,3,1,11,2,3.0,820.0,0,0,485000
10,200.0,1767.0,3094.0,2402,0,2402,2,0,10,2,3.0,672.0,170,0,555000
9,0.0,986.0,1365.0,1365,1325,2690,2,1,8,1,3.0,864.0,0,0,398800
9,450.0,1232.0,2020.0,2020,0,2020,2,0,7,1,3.0,896.0,0,0,404000
10,305.0,1436.0,2006.0,2020,0,2020,2,1,9,1,3.0,900.0,0,0,402861
10,420.0,1338.0,1722.0,1728,568,2296,2,1,10,1,3.0,842.0,0,0,451950
10,472.0,2288.0,2630.0,2674,0,2674,2,1,8,2,3.0,762.0,0,0,610000
9,424.0,0.0,1734.0,1734,1088,2822,3,1,12,1,3.0,1020.0,192,0,582933
9,302.0,0.0,1736.0,1736,0,1736,2,0,7,1,3.0,834.0,0,0,360000
8,20.0,1230.0,1508.0,1508,1012,2520,2,1,10,1,3.0,640.0,0,0,409900
10,922.0,56.0,2392.0,2392,0,2392,2,0,8,1,3.0,968.0,0,0,386250
9,724.0,1972.0,2452.0,2452,0,2452,2,0,10,1,3.0,886.0,0,0,445000
10,730.0,2146.0,2492.0,2492,0,2492,2,1,8,1,3.0,949.0,0,0,552000
8,470.0,1557.0,2200.0,2200,0,2200,2,1,8,1,3.0,685.0,0,0,382500
8,506.0,689.0,1462.0,1490,1304,2794,2,1,9,1,3.0,810.0,0,0,403000
8,528.0,1361.0,1629.0,1686,762,2448,2,1,8,1,3.0,711.0,0,0,402000
9,198.0,2158.0,2458.0,2490,0,2490,2,0,9,2,3.0,795.0,0,0,468000
9,162.0,1121.0,1766.0,1766,0,1766,2,1,7,1,3.0,478.0,0,0,370878
7,0.0,1236.0,2136.0,2036,0,2036,2,0,8,2,2.0,513.0,0,0,375000
9,246.0,1758.0,2190.0,2036,0,2036,2,0,9,1,3.0,780.0,0,0,410000
9,290.0,1640.0,1978.0,1978,0,1978,2,0,7,1,3.0,920.0,0,0,425000
8,130.0,16.0,1168.0,1168,1332,2500,3,1,9,1,3.0,683.0,0,0,355000
9,296.0,1337.0,1884.0,1884,0,1884,2,0,7,1,3.0,670.0,0,0,387000
8,426.0,1336.0,1932.0,1932,0,1932,2,0,7,1,3.0,774.0,0,0,394617
10,272.0,1280.0,1682.0,1742,590,2332,2,1,9,1,3.0,846.0,0,0,426000
10,816.0,1636.0,2078.0,2084,0,2084,2,0,7,1,3.0,1220.0,0,0,385000
9,268.0,1330.0,1452.0,1476,1237,2713,2,1,11,1,3.0,858.0,0,0,446261
8,436.0,1400.0,1710.0,1710,0,1710,2,0,6,1,3.0,866.0,0,0,372402
8,554.0,1728.0,2418.0,2464,0,2464,2,1,9,1,3.0,650.0,0,0,417500
9,480.0,1375.0,1950.0,1950,0,1950,2,0,7,1,3.0,706.0,0,0,383000
9,270.0,1420.0,1850.0,1850,898,2748,2,1,9,1,3.0,850.0,0,0,390000
10,468.0,1082.0,1620.0,1632,1158,2790,2,1,10,1,4.0,1150.0,192,0,460000
9,368.0,1249.0,1414.0,1414,917,2331,2,1,9,1,3.0,1003.0,0,0,379000
10,680.0,2257.0,2535.0,2470,0,2470,1,1,7,2,3.0,789.0,216,144,615000
9,664.0,1016.0,1572.0,1572,1096,2668,2,1,10,2,3.0,726.0,0,0,412500
8,1110.0,1075.0,1479.0,1515,1134,2649,2,1,10,1,3.0,746.0,0,0,421250
8,221.0,0.0,1765.0,1804,886,2690,2,1,9,1,3.0,795.0,0,0,370000
9,766.0,1540.0,1702.0,1702,0,1702,1,1,7,1,3.0,1052.0,224,0,367294
9,714.0,1204.0,1800.0,1800,0,1800,2,0,6,1,3.0,944.0,0,0,370967
9,568.0,520.0,1848.0,1827,959,2786,2,1,10,1,2.0,636.0,0,0,372500
9,554.0,2085.0,2271.0,2276,0,2276,2,0,7,2,3.0,1348.0,255,0,475000
9,402.0,1153.0,1751.0,1766,0,1766,2,1,8,2,3.0,874.0,0,0,395039
8,632.0,192.0,728.0,1968,1479,3447,3,1,11,2,3.0,1014.0,0,0,381000
8,186.0,1480.0,1600.0,1652,0,1652,2,0,5,1,2.0,482.0,0,0,392500
8,674.0,1571.0,1964.0,1964,0,1964,2,1,7,1,3.0,892.0,0,0,370000
9,200.0,1249.0,1922.0,1922,0,1922,2,0,8,1,3.0,676.0,0,0,377426
9,710.0,1101.0,2660.0,2338,0,2338,2,1,8,2,3.0,1110.0,322,0,591587
8,0.0,945.0,1419.0,1419,0,1419,2,0,7,1,2.0,567.0,0,0,392000
8,945.0,1558.0,2220.0,2234,0,2234,1,1,7,1,2.0,724.0,0,0,441929
10,250.0,1152.0,1742.0,2042,0,2042,2,0,8,1,3.0,724.0,174,0,455000
9,378.0,1151.0,1790.0,1816,0,1816,2,0,7,1,3.0,730.0,0,0,356000
9,315.0,0.0,2121.0,2121,0,2121,2,1,8,1,3.0,732.0,142,0,415298
9,456.0,1304.0,1934.0,1943,713,2656,2,1,8,1,3.0,1040.0,0,0,492000
10,400.0,1430.0,1994.0,2046,0,2046,2,1,7,2,3.0,878.0,175,0,450000
9,456.0,1812.0,2552.0,2552,0,2552,2,0,8,2,3.0,932.0,0,0,479069
8,375.0,0.0,1935.0,1973,0,1973,2,0,9,1,3.0,895.0,0,0,395000
9,772.0,0.0,2153.0,2069,574,2643,2,1,9,1,3.0,694.0,0,0,380000
8,304.0,1350.0,1976.0,1976,0,1976,2,0,7,1,3.0,908.0,0,0,440000
9,365.0,0.0,1704.0,1722,1036,2758,2,1,9,1,3.0,814.0,0,0,418000
10,970.0,1684.0,2320.0,2290,0,2290,2,1,7,1,3.0,1174.0,0,0,500067
9,510.0,0.0,1802.0,1802,0,1802,2,1,7,1,3.0,843.0,0,0,372000
8,388.0,970.0,1136.0,1136,1332,2468,2,1,10,1,3.0,872.0,0,0,354000
10,0.0,2096.0,2396.0,2411,2065,4476,3,1,10,2,3.0,813.0,0,555,745000
8,515.0,1181.0,1779.0,1779,772,2551,2,1,8,2,3.0,925.0,0,0,384500
10,705.0,1282.0,2633.0,2633,0,2633,2,1,8,2,3.0,804.0,0,0,466500
9,422.0,672.0,1408.0,1671,1407,3078,2,1,9,1,3.0,806.0,0,0,410000
10,1170.0,1455.0,2444.0,2444,1872,4316,3,1,10,2,3.0,832.0,0,0,755000
8,0.0,1231.0,3200.0,3228,0,3228,3,0,10,1,2.0,546.0,0,0,430000
10,754.0,1572.0,1966.0,1966,0,1966,2,0,6,1,3.0,1092.0,0,0,419005
8,0.0,1632.0,2461.0,2497,0,2497,2,0,7,2,2.0,676.0,0,0,373000
7,220.0,984.0,1264.0,1282,1414,2696,2,1,10,1,3.0,792.0,168,0,383970
8,340.0,1150.0,1466.0,1466,1362,2828,3,0,11,1,3.0,1052.0,0,0,424870
8,0.0,0.0,2140.0,2140,0,2140,2,1,8,0,3.0,894.0,0,0,360000
8,0.0,428.0,965.0,1940,1254,3194,2,1,10,2,2.0,380.0,0,0,359100
8,473.0,1573.0,1573.0,1625,0,1625,2,0,5,1,2.0,495.0,153,0,375000
10,242.0,0.0,1824.0,1824,0,1824,2,0,8,1,3.0,932.0,108,0,392000
9,600.0,1218.0,1398.0,1414,1384,2798,3,1,11,1,3.0,670.0,0,0,457347
10,662.0,0.0,1528.0,1528,1862,3390,3,1,10,1,3.0,758.0,0,0,545224
9,184.0,205.0,1094.0,1102,1371,2473,2,1,11,1,3.0,675.0,0,0,356383
9,208.0,240.0,1992.0,1992,876,2868,3,1,11,1,3.0,716.0,0,0,556581
8,466.0,0.0,1234.0,1264,1312,2576,2,1,10,1,3.0,666.0,0,0,361919
10,734.0,1206.0,1850.0,1850,848,2698,2,1,11,1,3.0,736.0,0,0,535000
9,550.0,0.0,1390.0,1390,1405,2795,3,1,10,1,3.0,660.0,0,0,401179
10,1031.0,0.0,1410.0,1426,1519,2945,3,1,10,1,3.0,641.0,0,0,438780
9,420.0,1416.0,1910.0,2000,0,2000,2,1,8,2,3.0,722.0,123,0,470000
9,215.0,1369.0,1738.0,1738,851,2589,2,1,11,1,3.0,831.0,0,0,412083
10,0.0,1386.0,2076.0,2076,0,2076,2,1,7,1,3.0,850.0,0,0,465000
9,568.0,1505.0,1868.0,1868,0,1868,2,0,7,1,3.0,1085.0,156,0,415000
9,0.0,1274.0,1896.0,1944,0,1944,2,0,8,3,3.0,708.0,0,0,360000
9,430.0,1232.0,1792.0,1792,0,1792,2,0,6,1,3.0,925.0,0,0,372397
9,674.0,1383.0,1780.0,1780,0,1780,2,0,7,1,3.0,816.0,0,0,378000
9,562.0,1567.0,1792.0,1792,0,1792,2,0,6,1,3.0,874.0,0,0,374000
9,870.0,1410.0,1848.0,1848,880,2728,2,1,10,2,3.0,706.0,0,0,437154
10,1378.0,1387.0,1930.0,1831,1796,3627,3,1,10,1,3.0,807.0,0,0,625000
9,877.0,1182.0,1540.0,1540,1315,2855,2,1,9,1,3.0,774.0,0,0,405000
9,738.0,292.0,1733.0,1933,1567,3500,3,1,11,1,3.0,959.0,210,0,584500
8,0.0,1721.0,2077.0,2097,0,2097,1,1,8,1,3.0,1134.0,0,0,423000
9,0.0,1836.0,2036.0,2036,604,2640,3,1,11,1,3.0,792.0,0,0,405749
9,0.0,1810.0,1842.0,1842,0,1842,0,1,5,1,3.0,894.0,0,0,385000
10,0.0,0.0,1107.0,1518,1518,3608,2,1,12,2,3.0,840.0,410,0,475000
6,0.0,425.0,1836.0,1836,1836,3672,3,1,7,2,2.0,836.0,0,0,415000
8,473.0,1573.0,1573.0,1778,0,1778,2,0,5,1,2.0,495.0,153,0,375000
8,208.0,1460.0,1868.0,2028,0,2028,2,0,7,2,3.0,880.0,0,0,369900
9,382.0,1455.0,1838.0,1838,0,1838,2,0,9,1,3.0,682.0,0,0,359900
